职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
Python开发工程师,成都长益西联软件有限公司,成都-高新区,2年经验,通讯补贴 带薪年假 节日福利 定期体检 年终奖金 绩效奖金 员工旅游 弹性工作 五险一金,08-19,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/116223138.html
Python  数据分析工程师,北京华宇泰聚科技有限公司,北京-海淀区,2年经验,五险一金 节日福利 周末双休,08-19,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139316106.html
python开发工程师（人工智能）,广东海启星海洋科技有限公司,广州-番禺区,2年经验,五险一金 绩效奖金 节日福利 带薪年假 专业培训 员工旅游 下午茶 每周运动,08-19,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141039870.html
Python软件开发工程师,杭州永谐科技有限公司,北京-朝阳区,2年经验,节日福利 旅游福利 五险一金 带薪年假 定期体检 绩效奖金 通讯补贴 餐饮补贴 周末双休,08-19,500-1000人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/139668540.html
Python开发工程师,郑州软通合力计算机技术有限公司,上海,1年经验,五险一金 定期体检 年终奖金 员工旅游,08-19,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140394971.html
Python开发工程师,友邦资讯科技（广州）有限公司,广州,5-7年经验,,08-19,500-1000人,计算机软件,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/131265798.html
Python后端开发工程师,浙江云诺通信科技有限公司,上海-徐汇区,2年经验,生日福利 节日福利 商业保险 七险一金 周末双休 定期体检,08-19,50-150人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/129318936.html
Python开发工程师,武汉联创赢科技有限公司,武汉-东湖新技术产业开发区,2年经验,五险一金 周末双休 带薪年假 节日福利 交通补贴 餐饮补贴 住房补贴 绩效奖金 加班补贴 专业培训,08-19,50-150人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/139861718.html
软件工程师（C++/Python/go/lua）,广州巨辰信息科技有限公司,广州-天河区,2年经验,五险一金 员工旅游 专业培训 绩效奖金 带薪年假 节日福利 全勤奖 梦想基金 咖啡好茶 周末双休,08-19,50-150人,通信/电信运营、增值服务,民营公司,https://jobs.51job.com/chengdu-jnq/127395071.html
c/c++/python软件工程师,山东高云半导体科技有限公司,济南-高新区,1年经验,五险一金 专业培训 股票期权 员工旅游 定期体检 餐饮补贴 周末双休 弹性工作 节日福利 丰富的下午茶,08-19,150-500人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/139270259.html
Python开发工程师,京迈（湖北）电子商务股份有限公司,武汉-洪山区,2年经验,五险,08-19,150-500人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/139498876.html
Python开发工程师,中讯志远（武汉）科技有限公司,北京-东城区,3-4年经验,年终奖金 五险一金,08-19,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141449650.html
金融python开发,杭州智君信息科技有限公司,杭州-余杭区,3-4年经验,带薪年假 五险一金 节日福利,08-19,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140802988.html
Python架构师,上海职愿互联科技有限公司,上海-松江区,5-7年经验,,08-19,少于50人,计算机软件,创业公司,https://jobs.51job.com/chengdu-jnq/137726911.html
跨境电商python开发工程师,苏州越兴金居技术服务有限公司,苏州-工业园区,3-4年经验,带薪年假 五险一金 绩效奖金 节日福利 员工旅游 年终奖金,08-19,50-150人,贸易/进出口,民营公司,https://jobs.51job.com/chengdu-jnq/140323211.html
Python开发工程师,点奇互联（北京）科技有限公司,北京-海淀区,1年经验,五险一金 补充医疗保险 补充公积金 通讯补贴 年终奖金 餐饮补贴 绩效奖金 定期体检 弹性工作 专业培训,08-19,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140831605.html
Python上位机开发高级工程师（苏州佳铭）,昆山西交创新中心管理有限公司,昆山,3-4年经验,专业培训 做五休二,08-19,少于50人,多元化业务集团公司,国企,https://jobs.51job.com/chengdu-jnq/134038004.html
python 工程师,合肥丰实网络科技有限公司,合肥-蜀山区,3-4年经验,年终奖金 绩效奖金 专业培训 包吃住 行政班 弹性工作,08-19,50-150人,互联网/电子商务,创业公司,https://jobs.51job.com/chengdu-jnq/140308131.html
Python开发工程师,深圳市世椿智能装备股份有限公司,深圳-宝安区,2年经验,五险一金 员工旅游 绩效奖金 定期体检 包吃包住 全勤奖 带薪年假 专业培训,08-19,150-500人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/140869561.html
Python开发工程师,南京至页科技有限公司,南京-鼓楼区,2年经验,五险一金 交通补贴 餐饮补贴 通讯补贴 周末双休,08-19,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136366565.html
Python爬虫工程师,武汉乐薇电子商务有限公司,武汉-洪山区,3-4年经验,弹性工作 五险一金 绩效奖金 节日福利 专业培训,08-19,50-150人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/131181339.html
软件工程师（Python）,杭州瑞亚教育科技有限公司,杭州-滨江区,无需经验,周末双休 五险一金 绩效奖金 节日福利 带薪年假 通讯补贴,08-19,50-150人,教育/培训/院校,民营公司,https://jobs.51job.com/chengdu-jnq/122027964.html
Python数据工程师,深圳艾斯世纪科技有限公司,深圳-南山区,无需经验,五险一金 绩效奖金 员工旅游 年终奖金,08-19,少于50人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/140510548.html
Python（爬虫）,南京易联阳光信息技术股份有限公司,南京-秦淮区,2年经验,五险一金 专业培训 年终奖金 周末双休 带薪年假 生日卡,08-19,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137842828.html
Senior Python Engineer（remote）,普华永道信息技术（上海）有限公司,上海-浦东新区,3-4年经验,,08-19,500-1000人,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/136152325.html
Python开发工程师,上海南天电脑系统有限公司,合肥-包河区,2年经验,五险一金 定期体检 周末双休 带薪年假 节日福利 高温补贴 年度旅游,08-19,500-1000人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/136245466.html
Python开发工程师,博士眼镜连锁股份有限公司,深圳-罗湖区,5-7年经验,五险一金 员工旅游 绩效奖金 定期体检 专业培训 上市公司 管理规范,08-19,1000-5000人,批发/零售,上市公司,https://jobs.51job.com/chengdu-jnq/138432345.html
软件工程师（Python方向）,遨博（江苏）机器人有限公司,北京-海淀区,2年经验,五险一金 餐饮补贴 通讯补贴 定期体检 年终奖金 交通补贴 周末双休,08-19,150-500人,仪器仪表/工业自动化,合资,https://jobs.51job.com/chengdu-jnq/138834165.html
软件工程师 (Python),深圳快造科技有限公司,深圳-南山区,2年经验,包午餐 周末双休 弹性工作 带薪年假 五险一金 定期体检 年终奖金 餐饮补贴,08-19,150-500人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/131418538.html
Python开发工程师,庆虹电子（苏州）有限公司,昆山,2年经验,五险一金 定期体检 年终奖金 绩效奖金 员工旅游 弹性工作,08-19,500-1000人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/127570422.html
python后台开发,浙江兰树化妆品有限公司杭州分公司,杭州,3-4年经验,,08-19,150-500人,快速消费品(食品、饮料、化妆品),民营公司,https://jobs.51job.com/chengdu-jnq/129507164.html
Python高级开发工程师,武汉全品教育科技有限公司,武汉-洪山区,2年经验,,08-19,150-500人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/131273623.html
Python （树莓派 ）软件开发工程师,东莞市拓能电子科技有限公司,东莞,1年经验,五险一金 年终奖金 周末双休 加班补贴 定期体检,08-19,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/137870799.html
python开发工程师 （机器视觉）(J10321),南京奥拓电子科技有限公司,南京,2年经验,五险一金 员工旅游 节日福利 年终奖金 绩效奖金 股票期权,08-19,500-1000人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/137861057.html
Python开发工程师,汉堂软件工程（上海）有限公司,广州,1年经验,五险一金 周末双休 弹性工作 免费班车 年终奖金 绩效奖金,08-19,500-1000人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/140388782.html
算法工程师/Python,江西数安数字技术有限公司,赣州-章贡区,3-4年经验,五险 餐饮补贴 交通补贴 绩效奖金 员工旅游 通讯补贴 专业培训 年终奖金,08-19,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139891229.html
